PRODUCT_ID,PRODUCT_NAME,SUMMARY,PRICE,CATEGORY_IDS,IMAGE_URL,STYLE,SIZE,SwatchColors,BaseProduct
300459760,Kelly Jacket Women black L,,80.96,200100|snow|WLD,/medias/?context=bWFzdGVyfGltYWdlc3wzOTczfGltYWdlL2pwZWd8YVcxaFoyVnpMMmhtTWk5b056UXZPRGM1TmpneU5EVTJOemd6T0M1cWNHY3w1NzIxNGMzODk5NmQ0YmUyMmVkNDM0ZTkxM2YxMmRmNDM0ZTljN2ZhNjBlNDI3NmNjM2NlYmRlZDE5YWQ1Y2M4,,,,103335
300412017,Dandridge Down Jacket Women lady luck groupie plaid L,,113.36,200100|snow|Burton,/medias/?context=bWFzdGVyfGltYWdlc3w0NjE4fGltYWdlL2pwZWd8YVcxaFoyVnpMMmd3WVM5b056Y3ZPRGM1TmpneU5qVXpNemt4T0M1cWNHY3xjOTA5OTNmMTAzNTg4MDcyZDk4NTRkZGZmZTFkOTdhZDgxMGEwYzBjNDM1ZDZhMzhiOTE2NjkzNTMyM2U5ZGM0,,,,95424
300412202,Method Jacket Women aloe L,,97.16,200100|snow|Burton,/medias/?context=bWFzdGVyfGltYWdlc3wzNzk1fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhtT1M5b01XVXZPRGM1TmpneU9EUTVPVGs1T0M1cWNHY3w4N2YxNTYzODRiZDk5MDgxZDc0YzNmMGYzNzc2NjAyZTQ2NGFmYmFjZjFmMTA3YzUxMDdmMzA3NmMyZjRkOGNm,,,,95430
300412518,Aster Jacket Women hex M,,145.76,200100|snow|Burton,/medias/?context=bWFzdGVyfGltYWdlc3w0NDM0fGltYWdlL2pwZWd8YVcxaFoyVnpMMmcyT1M5b01UQXZPRGM1Tmpnek16YzBNamczT0M1cWNHY3w4Yjk4Y2RhMGY4ODhkYWZlMzg4OWRlZTQxYjIzYmE3NzViMWFmMGVlMTljZDhjNGU2MWU2MmRhZmJhYzNhOTdk,,,,95441
300414005,Lucky Pant Women aloe L,,105.26,200300|snow|Burton,/medias/?context=bWFzdGVyfGltYWdlc3wzNDc1fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhtWlM5b1lqTXZPRGM1Tmpnek9ETXpNRE01T0M1cWNHY3wzYTk5OGYwYmNiNzgwMmExNzM2ODEzYjIwYThlY2UxMDkwNjE4ZjMzZWEzYzYxYWU2YTczMmM4NGM5OGRhN2Ew,,,,95490
300413759,Twc Honey Buns Pant Women bright white floral melt S,,89.06,200300|snow|Burton,/medias/?context=bWFzdGVyfGltYWdlc3w0NzE1fGltYWdlL2pwZWd8YVcxaFoyVnpMMmd3WkM5b1l6RXZPRGM1TmpnME5UZzJOekF6T0M1cWNHY3w4ZWJkNDQ1M2ExZDIwNTI3ZDNhMDFlYWZkMmQzNTFkNjBlOGMwNmEzOWNhZjIzYzEzZWY5NTE3NzhiNWNlMGIx,,,,95482
300438824,Twain Pant Women peacock M,,97.16,200300|snow|Volcom,/medias/?context=bWFzdGVyfGltYWdlc3wzODAyfGltYWdlL2pwZWd8YVcxaFoyVnpMMmd5TlM5b1l6TXZPRGM1TmpnME56Z3pNekV4T0M1cWNHY3w4YWIxZTMwMWZhYWJjNDkzZTU4YTdkYmFmOTI3MDM4YmZkMTZlN2FjNGYwYTdlZjFlN2E1ZTI4ZmMwNTkyZWU4,,,,99154
300398572,Strut Pant Women blacktop M,,80.96,200300|snow|Foursquare,/medias/?context=bWFzdGVyfGltYWdlc3wzMjQ4fGltYWdlL2pwZWd8YVcxaFoyVnpMMmcxTUM5b01UQXZPRGM1TmpnME9EUTRPRFEzT0M1cWNHY3xiMjA3MGNjNDlmNzY2YzRiNTNmNWU5NWEwZWYwZDRmOTU0YzczN2NiNzJkYWU0ZTYxYWNlM2I3NjY4MjI0NmJj,,,,94382
300413785,Basis Pant Women defender L,,113.36,200300|snow|Burton,/medias/?context=bWFzdGVyfGltYWdlc3wzNzA2fGltYWdlL2pwZWd8YVcxaFoyVnpMMmd6WkM5b05HWXZPRGM1TmpnMU1UUXpOelU1T0M1cWNHY3w5YTc1MmI4NjY1ZjZmMzMyZGQ2MzM5MGJjZGI0YmQzNWFlNDllZmY4NWI2MWYyNTJlMDQxNDk5MDIxZmJkM2U5,,,,95484
300442964,Ace Straight Pant Women pool green L,,89.06,200300|snow|DC,/medias/?context=bWFzdGVyfGltYWdlc3wzNzA2fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhpWmk5b01ERXZPRGM1TmpnMU16Y3pNVE0xT0M1cWNHY3wyYmRjNjA5NDVmMmRjYWI3YWQ0MjMwYTlkNWM4Yjg1YTU3OTVkNDNjNmM0OGRjOTA4YzlmZGE4N2Q3ZjE4NWMy,,,,100744
